qrs_mode,total_state_dim,patient_id,n_discordant_beats,n_concordant_beats,factored_minus_monolithic_discordant_acc,factored_minus_monolithic_concordant_acc,interaction
oracle,16,04936,575,4425,-0.00730434782608691,-0.004293785310734544,-0.0030105625153523663
oracle,16,06426,541,4459,-0.06469500924214411,-0.04516707782013918,-0.01952793142200493
oracle,16,06995,500,4500,-0.19280000000000003,-0.10631111111111102,-0.086488888888889
oracle,16,07162,500,4500,-0.0696,-0.04155555555555562,-0.028044444444444372
oracle,16,08378,1579,3421,0.352248258391387,-0.07383805904706242,0.42608631743844944
oracle,32,04936,575,4425,-0.004521739130434632,-0.0014463276836158556,-0.0030754114468187765
oracle,32,06426,541,4459,-0.10314232902033271,-0.09374299170217537,-0.009399337318157341
oracle,32,06995,500,4500,-0.08199999999999996,-0.055377777777777804,-0.02662222222222216
oracle,32,07162,500,4500,-0.17799999999999994,-0.16519999999999996,-0.012799999999999978
oracle,32,08378,1579,3421,-0.1345155161494619,-0.03472668810289392,-0.09978882804656797
